id,manufacturer,model,type,polar,image,mnemonic,use
1,Shure,SM58,Dynamic,Cardioid,assets/microphones/01_Shure_SM58.jpg,Ball grille = vocal stage classic. SM58s are dynamic cardioid vocal mics.,"Live vocals, guide vocals, rehearsal rooms."
5,Shure,SM57,Dynamic,Cardioid,assets/microphones/05_Shure_SM57.jpg,"No ball grille, small silver end = the instrument workhorse.","Snare drum, guitar amps, brass, general instruments."
3,AKG,D112,Dynamic,Cardioid,assets/microphones/03_AKG_D112.jpg,The chunky egg-shaped kick drum mic with the coloured ring.,"Kick drum, bass cabinet, low-frequency sources."
4,Sennheiser,E606,Dynamic,Supercardioid,assets/microphones/04_Sennheiser_E606.jpg,Flat side-address guitar cab mic. It can hang in front of an amp.,"Electric guitar cabinets, percussion, brass."
2,Sennheiser,MD421,Dynamic,Cardioid,assets/microphones/02_Sennheiser_MD421.jpg,Long black body with the distinctive clip collar: a studio dynamic classic.,"Toms, guitar amps, brass, broadcast voice."
6,Beyerdynamic,OPUS 65,Dynamic,Hypercardioid,assets/microphones/06_Beyerdynamic_OPUS_65.jpg,Large white/silver grille and body: Beyerdynamic bass/instrument dynamic.,"Kick drum, percussion and loud instruments."
7,Beyerdynamic,M201,Dynamic,Hypercardioid,assets/microphones/07_Beyerdynamic_M201.jpg,"Slim black pencil-style dynamic: precise, tight pickup.","Snare, guitar amps, acoustic instruments, brass."
8,AKG,C414,Condenser,Multi-pattern: Omni / Cardioid / Hypercardioid / Figure-8,assets/microphones/08_AKG_C414.jpg,Black rectangular AKG body with pattern switches = the flexible C414.,"Vocals, drum overheads, acoustic guitar, piano, room mics."
9,Neumann,U87,Condenser,Multi-pattern: Omni / Cardioid / Figure-8,assets/microphones/09_Neumann_U87.jpg,Large classic Neumann in a shock mount: three-pattern studio icon.,"Vocals, voiceover, piano, strings, room capture."
10,Neumann,TLM103,Condenser,Cardioid,assets/microphones/10_Neumann_TLM103.jpg,Looks U87-ish but simpler: transformerless cardioid condenser.,"Vocals, spoken word, acoustic instruments."
11,AKG,C3000,Condenser,Cardioid,assets/microphones/11_AKG_C3000.jpg,Rounded AKG body with a red band: fixed cardioid studio condenser.,"Vocals, acoustic guitar, overheads, brass."
13,Neumann,KM184,Condenser,Cardioid,assets/microphones/13_Neumann_KM184.jpg,Small Neumann pencil condenser: 184 = cardioid.,"Acoustic guitar, piano, drum overheads, spot mics."
12,Neumann,KM183,Condenser,Omnidirectional,assets/microphones/12_Neumann_KM183.jpg,Small Neumann pencil condenser: 183 = omni.,"Room, ambience, stereo pairs, natural acoustic capture."
14,Oktava,MK012,Condenser,Interchangeable capsules: Omni / Cardioid / Hypercardioid,assets/microphones/14_Oktava_MK012.jpg,Short modular pencil condenser with interchangeable capsules.,"Acoustic instruments, overheads, stereo techniques."
15,Audio Technica,AT4050,Condenser,Multi-pattern: Omni / Cardioid / Figure-8,assets/microphones/15_Audio_Technica_AT4050.jpg,Large black side-address Audio Technica condenser with switchable patterns.,"Vocals, overheads, piano, acoustic instruments, room."
